Cluster 0


                      p_val avg_logFC pct.1 pct.2     p_val_adj
S100A8         4.784534e-15  3.347940 0.251 0.414  9.569068e-12
S100A9         1.060858e-18  3.144763 0.365 0.549  2.121717e-15
GNLY           2.440960e-23  2.973587 0.321 0.517  4.881920e-20
NKG7           2.937550e-78  2.771106 0.224 0.672  5.875100e-75
LYZ            2.739780e-10  2.726544 0.307 0.426  5.479561e-07
S100A4        3.609740e-159  2.620046 0.365 0.928 7.219480e-156
CD79A         2.099510e-247  2.464199 0.976 0.195 4.199019e-244
MS4A1         8.222038e-236  2.303384 0.929 0.172 1.644408e-232
SRGN          5.837977e-134  2.150058 0.326 0.876 1.167595e-130
KLRB1          9.273902e-35  2.128891 0.219 0.483  1.854780e-31
TYROBP         4.070740e-48  2.123027 0.209 0.544  8.141479e-45
S100A6        3.636815e-114  1.992637 0.504 0.892 7.273630e-111
HLA-DRA       9.278801e-198  1.957888 1.000 0.507 1.855760e-194
TCL1A         4.049016e-179  1.937649 0.805 0.134 8.098031e-176
CD74          7.194815e-190  1.916673 1.000 0.728 1.438963e-186
CD79B         3.751890e-201  1.860963 0.932 0.225 7.503781e-198
LGALS1         1.525081e-51  1.855723 0.253 0.599  3.050162e-48
RP11-1143G9.4  2.598970e-23  1.797886 0.124 0.330  5.197940e-20
LINC00926     4.837618e-174  1.760094 0.745 0.114 9.675235e-171
CST3           7.192494e-25  1.753095 0.200 0.420  1.438499e-21
FCER1G         2.546873e-23  1.726700 0.217 0.436  5.093747e-20

Cluster 1
                      p_val avg_logFC pct.1 pct.2     p_val_adj
S100A8         4.723531e-09  3.231887 0.231 0.409  9.447061e-06
S100A9         1.112874e-09  3.016296 0.371 0.538  2.225748e-06
LYZ            1.150209e-13  2.655534 0.224 0.436  2.300418e-10
IGLL5          7.539739e-12  1.942917 0.153 0.349  1.507948e-08
HLA-DRA        7.420309e-23  1.864059 0.464 0.643  1.484062e-19
CMC1          5.761062e-105  1.845501 0.832 0.325 1.152212e-101
RGS1           2.142745e-57  1.728292 0.620 0.271  4.285491e-54
RP11-1143G9.4  1.609823e-07  1.693317 0.146 0.314  3.219646e-04
CD79A          1.679985e-16  1.593854 0.168 0.403  3.359970e-13
S100A12        2.097443e-03  1.561258 0.174 0.284  1.000000e+00
CST3           1.497610e-11  1.542455 0.212 0.405  2.995221e-08
GZMK           2.467713e-62  1.510441 0.611 0.216  4.935425e-59
LST1           9.080096e-22  1.452734 0.109 0.390  1.816019e-18
AIF1           3.874586e-27  1.433959 0.090 0.400  7.749171e-24
FCER1G         2.248170e-14  1.402766 0.202 0.426  4.496341e-11
CCL4           1.360845e-49  1.375576 0.679 0.312  2.721689e-46
TYROBP         1.995694e-15  1.285547 0.274 0.512  3.991388e-12
FCN1           1.818432e-11  1.264464 0.125 0.304  3.636864e-08
TCL1A          3.885990e-15  1.260596 0.097 0.316  7.771981e-12
CD79B          5.987337e-21  1.247045 0.162 0.421  1.197467e-17
CSTA           7.905935e-15  1.233736 0.081 0.286  1.581187e-11

Cluster 2
                     p_val avg_logFC pct.1 pct.2    p_val_adj
S100A8        5.717257e-12  3.264290 0.241 0.405 1.143451e-08
S100A9        6.034072e-08  3.126839 0.447 0.522 1.206814e-04
LYZ           3.898615e-12  2.852571 0.264 0.427 7.797230e-09
GNLY          5.752635e-16  2.808027 0.312 0.507 1.150527e-12
HLA-DRA       2.726671e-56  2.741119 0.289 0.676 5.453342e-53
CD74          5.894721e-67  2.290510 0.569 0.829 1.178944e-63
TYROBP        1.964510e-25  2.089548 0.241 0.517 3.929019e-22
HLA-DRB1      3.509619e-69  2.067094 0.161 0.670 7.019238e-66
NKG7          2.510237e-23  1.988561 0.395 0.611 5.020474e-20
HLA-DPA1      7.655650e-45  1.827493 0.312 0.642 1.531130e-41
RP11-1143G9.4 9.943378e-14  1.785430 0.129 0.316 1.988676e-10
CST3          3.806918e-18  1.735368 0.186 0.409 7.613835e-15
HLA-DPB1      2.412357e-54  1.634992 0.305 0.695 4.824715e-51
FCER1G        1.578363e-25  1.630619 0.167 0.432 3.156727e-22
S100A12       2.357429e-22  1.610119 0.055 0.306 4.714857e-19
HLA-DQB1      2.298635e-44  1.580239 0.177 0.549 4.597269e-41
CD79A         2.113663e-12  1.575704 0.222 0.391 4.227326e-09
CCL4          8.930192e-16  1.521496 0.196 0.409 1.786038e-12
GZMB          1.495300e-05  1.460887 0.228 0.338 2.990599e-02
CD79B         1.702518e-25  1.326120 0.161 0.420 3.405037e-22
FCN1          1.529340e-06  1.303430 0.177 0.293 3.058679e-03

Cluster 3
                      p_val avg_logFC pct.1 pct.2     p_val_adj
S100A8         3.670018e-07  3.159329 0.230 0.404  7.340035e-04
S100A9         1.784770e-05  2.946367 0.398 0.528  3.569540e-02
LYZ            8.171414e-13  2.738288 0.204 0.433  1.634283e-09
HLA-DRA        5.470871e-42  2.569598 0.285 0.668  1.094174e-38
CD74           2.731860e-37  1.925781 0.599 0.818  5.463721e-34
IGLL5          2.760905e-05  1.862031 0.190 0.337  5.521810e-02
